,k,wn
0,2000000.0,0.13466
1,2200000.0,0.13783
2,2400000.0,0.14064
3,2600000.0,0.14316
4,2800000.0,0.14543
5,3000000.0,0.1475
6,3200000.0,0.14937
7,3400000.0,0.15109
8,3600000.0,0.15267
9,3800000.0,0.15412
10,4000000.0,0.15547
11,4200000.0,0.15672
12,4400000.0,0.15789
13,4600000.0,0.15898
14,4800000.0,0.16
15,5000000.0,0.16095
16,5200000.0,0.16185
17,5400000.0,0.1627
18,5600000.0,0.1635
19,5800000.0,0.16425
20,6000000.0,0.16497
